date,home_team,away_team,team,scorer,minute,own_goal,penalty,torneio
1989-08-20,Brazil,Venezuela,Brazil,Paulo Silas,37,FALSE,FALSE,
1989-08-20,Brazil,Venezuela,Brazil,Pedro Acosta,39,TRUE,FALSE,
1989-08-20,Brazil,Venezuela,Brazil,Careca,80,FALSE,FALSE,
1989-08-20,Brazil,Venezuela,Brazil,Careca,86,FALSE,FALSE,
1989-09-03,Brazil,Chile,Brazil,Careca,49,FALSE,FALSE,
1990-06-10,Brazil,Sweden,Brazil,Careca,40,FALSE,FALSE,
1990-06-10,Brazil,Sweden,Brazil,Careca,63,FALSE,FALSE,
1990-06-16,Brazil,Costa Rica,Brazil,Müller,33,FALSE,FALSE,
1990-06-20,Brazil,Scotland,Brazil,Müller,81,FALSE,FALSE,
1991-07-09,Bolivia,Brazil,Brazil,Neto,5,FALSE,TRUE,
1991-07-09,Bolivia,Brazil,Brazil,Branco,47,FALSE,FALSE,
1991-07-11,Brazil,Uruguay,Brazil,João Paulo,29,FALSE,FALSE,
